ID;Geologia;Crollo;Cord_X;Cord_Y;Quote;Aspect;Slope;Nord;East;PlanarC;ProfileC;TWI;WD;NGSS;FT;EWI
181;1;0;385311.137;5061242.235;2439.08;221.489;31.636;-0.749;-0.203;-0.356;0.13;3.228;184.444;92.389;50.944;15.889
182;3;0;384712.622;5064852.159;919.645;238.91;51.908;-0.516;0.859;0.882;-0.904;0.917;180.056;74.222;32.389;14.556
183;2;0;388985.82;5081582.061;2801.15;210.933;31.738;-0.858;-0.679;-1.925;2.468;3.051;257.056;112.056;56;15.278
184;1;0;399188.68;5085393.056;2921.14;355.46;17.364;0.997;-0.839;-0.963;2.073;3.11;250.056;112.222;60.778;16
185;1;0;396023.402;5090452.573;2686.32;190.128;28.596;-0.984;-0.039;0.033;0.053;3.589;275.222;106.778;60.389;16.111
186;5;0;383154.68;5079758.733;3014.6;138.292;54.064;-0.747;0.641;-6.761;2.512;1.346;245.167;97.056;62.444;14
187;3;0;387389.443;5075339.773;2249.39;155.936;28.82;-0.913;0.237;3.546;-0.863;0.985;208;89.722;51.389;14.778
188;3;0;390913.512;5083993.074;2497.24;239.567;37.185;-0.507;0.622;-0.73;0.755;2.129;242.611;111.444;54.222;15.889
189;4;0;378015.622;5058442.252;2582.6;63.291;30.116;0.449;0.767;-0.797;0.004;3.748;186.444;90.333;49.667;14.889
190;3;0;383310.021;5064419.63;973.224;91.615;32.258;-0.028;-0.149;-1.289;0.867;2.022;190.222;73.222;32.833;14.389
191;3;0;396600.285;5078848.44;2690.51;142.474;28.052;-0.793;-0.67;1.685;-0.356;2.053;215.222;94.167;52;16
192;4;0;374951.481;5061159.553;2948.15;298.954;37.466;0.484;-0.274;-1.522;-8.031;3.285;170.722;80.889;62.611;14.611
193;4;0;373575.471;5060084.007;2935.16;359.614;53.751;1.000;0.268;0.116;2.885;3.624;158.556;78.333;57;14.778
194;1;0;399752.391;5085889.135;3117.58;268.558;33.805;-0.025;-0.205;0.107;0.227;3.146;260.611;115.5;63.722;16.056
195;1;0;372276.126;5060321.958;2586.71;256.356;38.741;-0.236;0.346;-2.588;-0.072;5.66;141.667;75.5;52.833;14.167
196;2;0;395828.694;5091405.346;3045.99;195.148;42.502;-0.965;0.612;2.007;4.052;1.606;275.222;106.778;70.389;16.111
197;3;0;391535.524;5084951.502;2367.51;93.669;31.494;-0.064;0.611;-0.415;-0.037;3.294;226.389;113.167;53.667;15.667
198;3;0;370005.759;5060117.605;2227.02;288.723;16.158;0.321;0.821;0.943;-0.029;1.875;147.944;75.944;46.278;14.778
199;1;0;386295.77;5074620.845;2019.72;320.433;51.478;0.771;0.421;3.215;-0.521;0.367;199.556;89.444;46.722;14.833
200;1;0;399858.878;5086368.803;3348.66;243.109;42.598;-0.452;-0.145;-0.735;1.365;2.734;260.611;115.5;64.444;16.056
201;1;0;381872.697;5069064.098;1407.42;160.542;48.745;-0.943;-0.634;-0.806;4.64;2.509;168.167;63.167;38.667;14.222
202;1;0;393330.817;5084446.171;1965;282.198;37.57;0.211;0.275;-0.184;-2.198;4.339;238.833;110.111;54;15.444
203;2;0;387610.368;5081791.04;3170.42;25.235;54.87;0.905;0.865;6.552;2.443;-0.29;259.111;110.944;72.944;15.278
204;2;0;379586.345;5074799.388;2522.74;144.583;47.562;-0.815;0.546;0.736;-1.494;2.767;241.833;84.556;46.056;15.889
205;2;0;397123.715;5077348.176;2752.17;41.188;7.856;0.753;-0.121;-1.109;0.672;5.536;202;89.722;54.111;15.278
206;4;0;378338.758;5062102.624;2282.33;8.299;45.401;0.990;0.114;0.217;-1.253;2.073;212.278;83.389;50.333;14.611
207;2;0;386331.291;5080782.66;2774.77;197.065;33.093;-0.956;-0.702;0.686;-0.097;2.446;259.556;107.667;55.444;14.444
